Case Number,Category,Program,Initiative,Organization,Type,Value,
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Comply with Canadian Environmental Assessment Act,Yes,
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Energy Efficiency,Energy Star-rated Products,
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Energy Efficiency,Smart Meter (Bulk Metered),
AH1-KAW-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Kawartha Lakes,Renewable Energy,Comments,
AH1-OTT-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-OTT-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH1-OTT-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AH1-OTT-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Ottawa,LEED Certification,Other,
AH1-THO-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of St. Thomas,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-THO-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of St. Thomas,Comply with Canadian Environmental Assessment Act,Yes,
AH1-THO-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of St. Thomas,Energy Efficiency,Energy Star-rated Products,
AH1-THO-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of St. Thomas,Energy Efficiency,Other,
AH1-THO-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of St. Thomas,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-STR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Stratford,Comply with Canadian Environmental Assessment Act,Yes,
AH1-STR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Stratford,Energy Efficiency,Energy Star-rated Products,
AH1-STR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Stratford,Energy Efficiency,Other,
AH1-STR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Stratford,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-TOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Toronto,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-TOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH1-TOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AH1-TOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Toronto,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-TOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,City of Toronto,LEED Certification,Gold,
AH1-HAS-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Hastings,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-HAS-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Hastings,Comply with Canadian Environmental Assessment Act,Yes,
AH1-HAS-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Hastings,Energy Efficiency,Energy Star-rated Products,
AH1-HAS-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Hastings,Energy Efficiency,Other,
AH1-HAS-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Hastings,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-NOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Norfolk,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-NOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Norfolk,Comply with Canadian Environmental Assessment Act,Yes,
AH1-NOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Norfolk,Energy Efficiency,Energy Star-rated Products,
AH1-NOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Norfolk,Energy Efficiency,Other,
AH1-NHL-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Northumberland,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-NHL-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Northumberland,Comply with Canadian Environmental Assessment Act,Yes,
AH1-NHL-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Northumberland,Energy Efficiency,Energy Star-rated Products,
AH1-NHL-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Northumberland,Energy Efficiency,Other,
AH1-OXF-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-OXF-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AH1-OXF-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Energy Efficiency,Energy Star-rated Products,
AH1-OXF-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Energy Efficiency,Smart Meter (Bulk Metered),
AH1-OXF-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-OXF-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AH1-OXF-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Energy Efficiency,Energy Star-rated Products,
AH1-OXF-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Oxford,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-REN-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Renfrew,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-REN-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Renfrew,Comply with Canadian Environmental Assessment Act,Yes,
AH1-REN-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Renfrew,Energy Efficiency,Energy Star-rated Products,
AH1-REN-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,County of Renfrew,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-WAT-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-WAT-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH1-WAT-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH1-WAT-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-WAT-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH1-WAT-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH1-WAT-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-WAT-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH1-WAT-RS-002,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH1-WAT-RS-003,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-WAT-RS-003,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH1-WAT-RS-003,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH1-WAT-RS-003,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-WAT-RS-004,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-WAT-RS-004,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AH1-WAT-RS-004,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AH1-WAT-RS-004,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-WAT-RS-004,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of Waterloo,LEED Certification,,
AH1-YOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of York,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH1-YOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AH1-YOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of York,Energy Efficiency,Energy Star-rated Products,
AH1-YOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of York,Energy Efficiency,Smart Meter (Individually Metered Units),
AH1-YOR-RS-001,IAH Year - 1 Rental Housing,Investment in Affordable Housing Program,IAH Year - 1,Regional Municipality of York,LEED Certification,Certified,
AH2-ALG-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Algoma DSSAB,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-ALG-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Algoma DSSAB,Comply with Canadian Environmental Assessment Act,Yes,
AH2-ALG-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Algoma DSSAB,Energy Efficiency,Energy Star-rated Products,
AH2-ALG-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,Algoma DSSAB,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-BRA-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Brantford,Comply with Canadian Environmental Assessment Act,Yes,
AH2-KIN-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Kingston,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-KIN-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Kingston,Comply with Canadian Environmental Assessment Act,Yes,
AH2-KIN-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Kingston,Energy Efficiency,Other,
AH2-KIN-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Kingston,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-KIN-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Kingston,Comply with Canadian Environmental Assessment Act,Yes,
AH2-KIN-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Kingston,Energy Efficiency,Other,
AH2-LON-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-LON-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH2-LON-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Energy Star-rated Products,
AH2-LON-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-LON-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,LEED Certification,Certified,
AH2-LON-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-LON-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH2-LON-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Energy Star-rated Products,
AH2-LON-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-LON-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-LON-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH2-LON-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Energy Star-rated Products,
AH2-LON-RS-003,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-LON-RS-004,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-LON-RS-004,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH2-LON-RS-004,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Energy Star-rated Products,
AH2-LON-RS-004,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Smart Meter (Bulk Metered),
AH2-LON-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-LON-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH2-LON-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Energy Star-rated Products,
AH2-LON-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-LON-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-LON-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AH2-LON-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Energy Star-rated Products,
AH2-LON-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-OTT-RS-004,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-OTT-RS-004,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH2-OTT-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-OTT-RS-005,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH2-OTT-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-OTT-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AH2-OTT-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AH2-OTT-RS-006,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Ottawa,Renewable Energy,Solar Photovoltaic,
AH2-PET-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Peterborough,Comply with Canadian Environmental Assessment Act,Yes,
AH2-PET-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Peterborough,Energy Efficiency,Energy Star-rated Products,
AH2-PET-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Peterborough,Energy Efficiency,Smart Meter (Bulk Metered),
AH2-PET-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Peterborough,Renewable Energy,Comments,
AH2-THO-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-THO-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Comply with Canadian Environmental Assessment Act,Yes,
AH2-THO-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Energy Efficiency,Energy Star-rated Products,
AH2-THO-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Energy Efficiency,Smart Meter (Bulk Metered),
AH2-THO-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-THO-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Comply with Canadian Environmental Assessment Act,Yes,
AH2-THO-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Energy Efficiency,Energy Star-rated Products,
AH2-THO-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of St. Thomas,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-TOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-TOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH2-TOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AH2-TOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Energy Efficiency,Other,
AH2-TOR-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Energy Efficiency,Smart Meter (Bulk Metered),
AH2-TOR-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-TOR-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AH2-TOR-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AH2-TOR-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,LEED Certification,Gold,
AH2-TOR-RS-002,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,City of Toronto,Renewable Energy,Comments,
AH2-BRU-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Bruce,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
AH2-BRU-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Bruce,Comply with Canadian Environmental Assessment Act,Yes,
AH2-BRU-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Bruce,Energy Efficiency,Energy Star-rated Products,
AH2-BRU-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Bruce,Energy Efficiency,Other,
AH2-BRU-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Bruce,Energy Efficiency,Smart Meter (Individually Metered Units),
AH2-DUF-RS-001,IAH Year - 2 Rental Housing,Investment in Affordable Housing Program,IAH Year - 2,County of Dufferin,Building Design,Building will meet the energy efficiency requirements of the proposed 2012 Ontario Building Code,
